##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HG2-24_S4_R2_001.complete.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6447734
Sequences flagged as poor quality	0
Sequence length	35-40
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	17	-0.03372244953793313
1106	18	0.0032723451808323034
1106	19	-0.016734798043316346
1106	20	-0.1389362417325657
1106	21	-0.03713248988844242
1106	22	-0.08056276638141924
1106	23	-0.07588760517715798
1106	24	-0.15838055816568186
1106	25	-0.04802160722863391
1106	26	0.028500751408941483
1106	27	-0.04183373224488918
1106	28	0.002653896366766162
1106	29	-0.07944283401079844
1106	30	-0.016276577141525195
1106	31	-0.04086471172384876
1106	32	-0.015516096243686661
1106	33	0.1276384784357134
1106	34	-0.04059943507567709
1106	35	-0.024653232685743376
1106	36	-0.022198381678052215
1106	37	0.024918168316851563
1106	38	-0.10361734548715873
1106	39	-0.06627807161133603
1106	40	-0.09594951355027348
1107	1	-0.07299790556633923
1107	2	-0.11785922840216045
1107	3	-0.10611694292403939
1107	4	-0.07637055437613327
1107	5	-0.1076486947636468
1107	6	-0.09864895504522764
1107	7	4.7979743574444456E-4
1107	8	-0.169984724640436
1107	9	-0.04030653794324479
1107	10	-0.05196151746794442
1107	11	-0.06501905107976569
1107	12	-0.1420129334378757
1107	13	-0.09244080070776306
1107	14	-0.09422276997647572
1107	15	-0.07296323661725523
1107	16	0.07463002426359822
1107	17	-0.03174820076777962
1107	18	0.10527294407497578
1107	19	0.04284941984692381
1107	20	-0.009419442081544105
1107	21	-0.029473605494814592
1107	22	0.03766554876118988
1107	23	0.002087750298194635
1107	24	-0.05515804461973772
1107	25	0.04988552274937064
1107	26	0.009776033439038656
1107	27	-0.0672431415847754
1107	28	-0.1940294912051712
1107	29	-0.12131522965135844
1107	30	-0.07032573063236924
1107	31	-0.14089997976553548
1107	32	-0.06781235723725132
1107	33	-0.008072603268857392
1107	34	0.022166369896240212
1107	35	0.01881504374502896
1107	36	0.05057531530987802
1107	37	-0.06510752549450416
1107	38	0.013598748117502168
1107	39	-0.11827450150526886
1107	40	-0.10006203293044535
1108	1	-0.09584210538655213
1108	2	-0.12744586513512246
1108	3	-0.15488590887197518
1108	4	-0.05564895849911622
1108	5	-0.12961222361255054
1108	6	-0.09990807018159131
1108	7	-0.12095109262933335
1108	8	-0.20831337127950178
1108	9	-0.11727419871341027
1108	10	-0.07020727154003481
1108	11	-0.09219318658690412
1108	12	-0.07026992440364666
1108	13	-0.1411225291857363
1108	14	-0.08512228531471067
1108	15	-0.15249331144872258
1108	16	-0.14328590633100902
1108	17	-0.01946756997083554
1108	18	-0.09150721014557206
1108	19	-0.027993094095286608
1108	20	-0.01740830571071683
1108	21	0.035088504170801116
1108	22	0.010287219141375203
1108	23	-0.005427632444643393
1108	24	0.04713828476421611
1108	25	-0.07667350827754404
1108	26	0.003386571931024207
1108	27	-0.08093742872825516
1108	28	-0.1617651073428874
1108	29	-0.028928813793498875
1108	30	-0.20599379771725523
1108	31	-0.050805785975711615
1108	32	-0.10295264084153644
1108	33	-0.14060098318903158
1108	34	-0.1185880771000285
1108	35	-0.10305339811363012
1108	36	-0.14237065599953524
1108	37	-0.002581702377725037
1108	38	-0.07295940679077262
1108	39	-0.014684950092913596
1108	40	-0.1979261386645632
1109	1	-0.06177467907481926
1109	2	-0.03623796624836473
1109	3	-0.06569696747331122
1109	4	-0.05580298330311706
1109	5	-0.05625798885876421
1109	6	-0.10624506437280701
1109	7	-0.03718305733349325
1109	8	-0.04655594380008665
1109	9	-0.11801094659890765
1109	10	-0.03849558962836852
1109	11	-0.043734014620270045
1109	12	-0.06493313129541178
1109	13	-0.08117901395319649
1109	14	-0.1725863967594492
1109	15	-0.025458005013661023
1109	16	-0.17060280150222695
1109	17	-0.030732280520261668
1109	18	-0.027038155672421738
1109	19	-0.07346017570897345
1109	20	-0.03953853618333625
1109	21	-0.04186837700063961
1109	22	-0.02304477110816805
1109	23	-0.035355993829170984
1109	24	0.002568562867743651
1109	25	-0.03552360370404273
1109	26	0.007510112685281456
1109	27	0.024676500731978024
1109	28	0.045851932779783056
1109	29	0.04582492989625564
1109	30	-0.05991967572534662
1109	31	-0.12172206687422005
1109	32	-0.009747047168858103
1109	33	-0.045600731486416635
1109	34	-0.1009970902349977
1109	35	-0.15200708281264497
1109	36	0.016878365249873184
1109	37	0.0724000285066495
1109	38	0.07756087820418855
1109	39	0.007412349304736665
1109	40	0.03539821160827472
1110	1	-0.14248023123559506
1110	2	-0.07428560998500089
1110	3	-0.08180187434311037
1110	4	-0.09810260828738748
1110	5	-0.022598050759327748
1110	6	-0.11606024249253011
1110	7	-0.017396445467859678
1110	8	-0.05155782735176473
1110	9	-0.17220227719294456
1110	10	0.011523613312952818
1110	11	0.004352546498466836
1110	12	0.011833496439848545
1110	13	0.0019796312907018887
1110	14	-0.05656752957732891
1110	15	0.015670114735023333
1110	16	-0.13847438899414044
1110	17	-0.06663901953793783
1110	18	-0.005800595525307983
1110	19	-0.048792685432417215
1110	20	-0.08596087578989398
1110	21	-0.020543269611913217
1110	22	-0.008338705042973515
1110	23	-0.023420208411501164
1110	24	0.031666235282422406
1110	25	-0.03627105651131046
1110	26	0.039755600005207725
1110	27	-0.016071512787370068
1110	28	0.042106941694505906
1110	29	0.031814287099983574
1110	30	-0.1974747078457071
1110	31	-0.04242470814209298
1110	32	-0.19727150177559594
1110	33	-0.06950343319896746
1110	34	0.03461610331579834
1110	35	0.019725154321889704
1110	36	0.030694931993224372
1110	37	0.014183898845701037
1110	38	-0.026063776923201942
1110	39	-0.04414024578769471
1110	40	-0.05460291365381664
1111	1	0.033978017790758486
1111	2	0.02287163724081509
1111	3	0.01378303234391609
1111	4	0.0431698942114771
1111	5	0.08322651367668144
1111	6	0.011123553684939225
1111	7	0.030647237907700742
1111	8	0.04729015242087087
1111	9	-0.20018438502909675
1111	10	0.12896574097037927
1111	11	0.0455333221160501
1111	12	0.06459093342893141
1111	13	0.007563865390913804
1111	14	0.13893275026993024
1111	15	-0.012981831906756724
1111	16	-0.17959296892899346
1111	17	-0.09442931078113048
1111	18	-0.043095948921568095
1111	19	-0.10678773171006384
1111	20	-7.987424006472565E-5
1111	21	-0.07149671721483486
1111	22	-0.048600270661417255
1111	23	-0.092802212751522
1111	24	-0.07774667770269161
1111	25	0.045844108404970996
1111	26	0.09341432849310394
1111	27	0.015475580893500762
1111	28	-0.08434278813326301
1111	29	-0.09943580766933025
1111	30	0.08479221527665004
1111	31	0.07682495818204416
1111	32	-0.17065933296099445
1111	33	0.09303124542790187
1111	34	0.08789838785394011
1111	35	0.07951928428040134
1111	36	-0.06487880941914881
1111	37	0.10200157973420687
1111	38	0.1621821747639487
1111	39	0.08472006629894935
1111	40	0.1185857881785779
1112	1	-0.010180027722238805
1112	2	0.057886052653550735
1112	3	0.06165730447504458
1112	4	-0.06614479237081383
1112	5	-0.0913628575446559
1112	6	-0.029236119015983775
1112	7	-0.05774660472796711
1112	8	-0.05341974883371847
1112	9	0.10171864567325173
1112	10	0.039688930595005445
1112	11	-0.04241175461592661
1112	12	0.008773089053867977
1112	13	0.0462069888439558
1112	14	-0.07419552236282811
1112	15	-0.07062596515476116
1112	16	-0.3181241953487657
1112	17	0.054999894660682
1112	18	-0.047074299350413185
1112	19	-0.18104201505309447
1112	20	-0.21926757832632404
1112	21	-0.06527582752189431
1112	22	-0.07392956636368808
1112	23	-0.09783158746882492
1112	24	-0.16034597516323856
1112	25	0.025000892924083473
1112	26	-0.006143533687620106
1112	27	-0.07097587387085724
1112	28	-0.07669330933573804
1112	29	0.01332853751092955
1112	30	-0.04746826653652647
1112	31	-0.27692322924951895
1112	32	-0.24971867607434461
1112	33	-0.007459130627353261
1112	34	-0.07849563875509347
1112	35	-0.21046587095726466
1112	36	-0.3296558536758596
1112	37	-0.01599466020854834
1112	38	-0.11946006156344424
1112	39	-0.16409850213103283
1112	40	-0.059449097663396344
1113	1	0.02389886826656351
1113	2	0.11992492821964262
1113	3	0.055322684885361184
1113	4	0.08117578540979409
1113	5	0.09733834513356499
1113	6	0.06366982247809716
1113	7	0.013022759824458774
1113	8	0.1813049117196357
1113	9	0.193898651830402
1113	10	0.1110013959951317
1113	11	0.12336182009223506
1113	12	0.13279812704679017
1113	13	0.07604838589384144
1113	14	0.003822549866761449
1113	15	-0.035593248164637714
1113	16	0.18028092593004175
1113	17	0.04156368884124362
1113	18	-0.2588363304385837
1113	19	-0.3398659425901158
1113	20	0.12700698474219507
1113	21	-0.10030506196778077
1113	22	-0.19219494200004306
1113	23	-0.15994780889358395
1113	24	0.07013047473930811
1113	25	-0.0698071375742444
1113	26	0.04710881675649148
1113	27	-0.1325007248076986
1113	28	0.02151324420292866
1113	29	0.08188013757110468
1113	30	0.013928192402225648
1113	31	-0.08036426977197664
1113	32	0.0767666842413135
1113	33	0.05122954838900995
1113	34	-0.07516079364178552
1113	35	-0.062157611355573295
1113	36	0.003133121550440876
1113	37	0.005816637807996017
1113	38	0.0546225483002587
1113	39	-0.252177923368734
1113	40	0.1238783150519609
1114	1	-0.01651292565908591
1114	2	0.08767010603041214
1114	3	0.12354196912764337
1114	4	0.16935263611094697
1114	5	0.06469569621782512
1114	6	-0.010450532746396846
1114	7	0.07000303225871818
1114	8	-0.001625540314449836
1114	9	0.041863992394617355
1114	10	0.10632598600879106
1114	11	0.07570258184958334
1114	12	-0.05246083991251993
1114	13	0.11407051130009904
1114	14	0.13324270246590686
1114	15	0.015725838047515595
1114	16	-0.056506909447840314
1114	17	0.052200041665052765
1114	18	-0.15951215437532085
1114	19	0.14579658462385225
1114	20	-0.1357131367941875
1114	21	-0.019986543331590667
1114	22	-0.09547828246240897
1114	23	-0.12040993384955101
1114	24	-0.06521805537386882
1114	25	-0.038704217800123786
1114	26	-0.05839178076455198
1114	27	0.12988018818986546
1114	28	0.04034562700967825
1114	29	0.05125857850447346
1114	30	0.08626637940246695
1114	31	0.1387942595555316
1114	32	-0.0669098125644112
1114	33	0.08036251786523252
1114	34	0.01150322978629248
1114	35	0.134044067829322
1114	36	-0.04419924438781209
1114	37	0.01959679428152583
1114	38	0.023270059881099314
1114	39	0.10408036443607926
1114	40	-0.2277103687697135
2101	1	0.08944178499907096
2101	2	-0.027547700936572994
2101	3	0.04293720610884577
2101	4	-0.023481670902413043
2101	5	-0.012848117892328759
2101	6	0.08159967535901558
2101	7	0.057969425108950645
2101	8	0.03633857747735192
2101	9	-0.00521596358159826
2101	10	0.03639077921074829
2101	11	0.005641462141944942
2101	12	-0.02401204498409726
2101	13	0.018500514178761307
2101	14	0.06473672107522077
2101	15	-0.10505142256337763
2101	16	0.08318902025082053
2101	17	0.18134052965841363
2101	18	0.18016975443232752
2101	19	0.11991731591732702
2101	20	0.05947957414970517
2101	21	0.12053158719172075
2101	22	0.09728565915196441
2101	23	0.019187120460109952
2101	24	0.04150433559915001
2101	25	-0.06367446031165969
2101	26	0.05985157806477304
2101	27	0.07258203260057883
2101	28	0.0659246442922381
2101	29	-0.010942014877585393
2101	30	0.03950080310101356
2101	31	-0.049697951375776483
2101	32	-0.07277657430215356
2101	33	-0.009254404716493525
2101	34	-0.07107432538261094
2101	35	-0.017037826647289478
2101	36	0.059009884470277996
2101	37	-0.025789748602704776
2101	38	0.020957718877959053
2101	39	-0.0014154776434125438
2101	40	0.044797600493787115
2102	1	0.07342102732145506
2102	2	0.031101874963606946
2102	3	-0.005844488370986056
2102	4	-0.1507007009669472
2102	5	-0.10430101335402853
2102	6	-0.07389099072030803
2102	7	0.031528983122029786
2102	8	-0.03158181686138306
2102	9	-0.013764498554778015
2102	10	0.012805214926743247
2102	11	-0.048430492423335636
2102	12	-0.09567088049202255
2102	13	-0.04248951698427561
2102	14	0.05475723816716993
2102	15	0.05151425974023027
2102	16	0.05678607931959334
2102	17	0.04371766072018346
2102	18	-0.028403308517056303
2102	19	-0.23148488395214883
2102	20	-0.07469516757581829
2102	21	0.07139367384227313
2102	22	-0.015498395407576027
2102	23	0.0702725463908962
2102	24	-0.03709714009045939
2102	25	-0.08980982836764184
2102	26	-0.09429948345459849
2102	27	-0.2199199168455408
2102	28	0.05072551562005145
2102	29	-0.12271872128243899
2102	30	-0.027527187101910044
2102	31	0.02423358517769003
2102	32	-0.07784200226326732
2102	33	-0.03925805385694758
2102	34	-0.01530312253765942
2102	35	0.019231778149972456
2102	36	-0.028600084941018622
2102	37	-0.07438100866959729
2102	38	-0.017929426019783534
2102	39	-0.01171197808501745
2102	40	0.10182114858398705
2103	1	-0.06257585681026967
2103	2	-0.1300694723017486
2103	3	-0.02347676690714806
2103	4	-0.05847114483022864
2103	5	-0.07777786735529446
2103	6	-0.006056822770595716
2103	7	-0.11213015311867025
2103	8	-0.1374812233108571
2103	9	-0.10425298330833499
2103	10	-0.06423661779016498
2103	11	-0.10742746960699634
2103	12	-0.11806814093699813
2103	13	-0.019015686631547624
2103	14	-0.017495833386625748
2103	15	-0.1121534083674618
2103	16	-0.009554911735001781
2103	17	0.04935162565701745
2103	18	-0.18855808880830693
2103	19	-0.12638313047332872
2103	20	-0.09492036343257126
2103	21	-0.06648391351550487
2103	22	-0.025661668729959786
2103	23	-0.038466508332739124
2103	24	-0.026685448304242243
2103	25	-0.16702512789363055
2103	26	-0.16842552188600024
2103	27	-0.21458388608483148
2103	28	-0.024589346826900282
2103	29	-0.15824403336627313
2103	30	-0.09844501422855245
2103	31	-0.2010316521384965
2103	32	-0.07939958965310012
2103	33	-0.04721955778705933
2103	34	-0.0049029505133191265
2103	35	-0.0276091147824431
2103	36	-0.019235482562393713
2103	37	-0.026063654270899406
2103	38	0.024258521684558332
2103	39	0.10180041458314548
2103	40	0.05251825803166099
2104	1	0.10993911617435614
2104	2	-0.035373428942410357
2104	3	-0.02315903309952816
2104	4	0.05628844529063315
2104	5	0.03276907606737467
2104	6	0.06799856548277461
2104	7	-0.05129478184255021
2104	8	0.01718802362717753
2104	9	0.027847899912494256
2104	10	-0.14947643818172196
2104	11	-0.036371646817066505
2104	12	0.09825199124296091
2104	13	0.1151436030190709
2104	14	-0.01061213423413676
2104	15	0.03244646430322007
2104	16	0.10762385121688567
2104	17	0.10047417844141648
2104	18	0.0032486232657475966
2104	19	-0.03446559473353972
2104	20	0.09375911700990969
2104	21	-0.006882929239665714
2104	22	0.06184111028293415
2104	23	0.001989687687043329
2104	24	0.07118549096843196
2104	25	0.170920608932164
2104	26	-0.05095538364274432
2104	27	0.009135662670843203
2104	28	0.07669388343031613
2104	29	0.10576353902280289
2104	30	-0.04450664768180701
2104	31	0.08046037462086986
2104	32	0.12800614286101109
2104	33	0.0946161233911127
2104	34	0.10085213255390357
2104	35	0.1191050814259711
2104	36	0.027440868801541285
2104	37	-0.028681594698042545
2104	38	-0.03317318867716068
2104	39	0.005231123324868747
2104	40	0.01598695814244877
2105	1	-0.08230807553830033
2105	2	-0.24582909959991994
2105	3	-0.011582133470678713
2105	4	-0.06115763632327642
2105	5	-0.10058015830738043
2105	6	-0.10399908392408719
2105	7	-0.07071265603419619
2105	8	-0.08604246605383992
2105	9	-0.14080433380571122
2105	10	-0.2250503297578348
2105	11	-0.11130614447409215
2105	12	-0.04998549783998385
2105	13	-0.10376467908377407
2105	14	-0.24483598171569554
2105	15	-0.014220506376332764
2105	16	-0.01967112888574718
2105	17	-0.15298132138013187
2105	18	-0.21327977844054402
2105	19	-0.15916430984006524
2105	20	-0.10357989217807528
2105	21	-0.20786149800586173
2105	22	-0.12225936836227191
2105	23	-0.03633507542652126
2105	24	0.0382350869916408
2105	25	-0.09113420504849046
2105	26	-0.2191890235875391
2105	27	-0.13758785745125834
2105	28	-0.047460996265847655
2105	29	0.012702524092773615
2105	30	-0.25031705722523157
2105	31	-0.0934038936226429
2105	32	-0.004689050162305364
2105	33	-0.2551560420414347
2105	34	-0.1542012925091072
2105	35	-0.04805112719731852
2105	36	0.06336682545569516
2105	37	-0.19090067272739475
2105	38	-0.2562970374933258
2105	39	-0.05103425929882377
2105	40	0.0598748288826485
2106	1	0.051642180850418384
2106	2	-8.306127984987199E-4
2106	3	9.345579902237944E-4
2106	4	0.09979118167137102
2106	5	0.07611431146372993
2106	6	0.17184783041698637
2106	7	0.22396161426386385
2106	8	0.12367955075954029
2106	9	0.051970127544855416
2106	10	0.042178933342235325
2106	11	0.06218329388907051
2106	12	0.15843408148722915
2106	13	0.21012920979099903
2106	14	0.11917850923448015
2106	15	0.2727340011199928
2106	16	0.2710007286925631
2106	17	0.26628672427595035
2106	18	0.21872144860945042
2106	19	0.18181719961478393
2106	20	0.1587673041240194
2106	21	0.08259224072096316
2106	22	0.19272511476993515
2106	23	0.19602739353896226
2106	24	0.15125290845710282
2106	25	0.2123068130177117
2106	26	0.06159755839487957
2106	27	0.1546294131890349
2106	28	0.1363505745757223
2106	29	0.17673128589289888
2106	30	0.06351084806784257
2106	31	0.16767406464742862
2106	32	0.19428253911427618
2106	33	0.11419430000515263
2106	34	0.15101029897076046
2106	35	0.02912130497579568
2106	36	-0.016886452252308004
2106	37	0.1938788870145416
2106	38	0.15538352344702844
2106	39	0.16445491786048905
2106	40	0.15402122775602578
2107	1	0.14311268293243984
2107	2	0.01041125382513286
2107	3	0.1700260493733765
2107	4	0.10235918022070578
2107	5	0.12408103330722753
2107	6	0.12352735997433228
2107	7	0.05652595063835264
2107	8	0.021059457551800165
2107	9	-0.024240079199721265
2107	10	0.027834882731845312
2107	11	0.0012544474284084117
2107	12	0.08069493082242474
2107	13	0.149897029261858
2107	14	0.0045996229693443524
2107	15	0.08870930716476266
2107	16	0.26175183239865163
2107	17	0.15105632438408634
2107	18	0.10675240923111318
2107	19	0.12841110751964635
2107	20	0.04025717940631779
2107	21	-0.08130706313484382
2107	22	0.05831479956099628
2107	23	0.1715829883973683
2107	24	0.19076657641831218
2107	25	0.09745496733709302
2107	26	0.089797270038396
2107	27	0.07350207563359135
2107	28	0.16057211993857834
2107	29	0.15080484742108524
2107	30	0.21888177907837303
